,7Li (KED_IS),23Na (KED_IS),24Mg (KED_IS),27Al (KED_IS),29Si (KED_IS),39K (KED_IS),44Ca (KED_IS),48Ti (KED_IS),52Cr (KED_IS),55Mn (KED_IS),56Fe (KED_IS),59Co (KED_IS),60Ni (KED_IS),63Cu (KED_IS),66Zn (KED_IS),88Sr (KED_IS),95Mo (KED_IS),111Cd (KED_IS),137Ba (KED_IS),208Pb (KED_IS)
63D_Disk_t18_Tot,6.204299182,197312.319,2355.966331,70.83488158,982.2520167,1274.144431,1250.611389,13.30478189,46.91920799,13.89222277,327.6441008,3.890106426,31.82826164,2.76008487,143.5872306,30.73512927,3.547631474,0.115869836,18.78730737,0.541569657
63D_Disk_t23_Tot,8.683009901,205980.5793,2349.034725,255.6471357,1038.910079,1300.808858,1216.549121,12.66118052,3.576772893,7.018824619,108.6784148,3.242451334,5.544097337,3.75147136,449.6085802,31.46294442,3.095417826,0.178443859,20.38123729,0.66874778
Rinse,1.768,31.163,8.728,3.963,121.336,91.519,4.567,0.283,0.967,0.776,2.910,0.655,0.935,0.738,1.990,0.618,0.065,0.664,1.803,0.574
,,,,,,,,,,,,,,,,,,,,
BLANK,11.055,31.933,14.278,16.771,129.712,98.128,15.743,0.169,8.714,7.835,18.380,7.964,8.014,7.732,9.091,7.311,0.067,7.213,7.798,7.121
67A_Disk_t0_Tot,20.12957749,203618.2376,42.39383074,41.201136,895.7267882,824.5024778,202.210218,2.546425102,2.175521339,3.563608089,28.51071602,2.175008887,3.970165214,2.515398001,345.6203108,3.447886203,0.550596982,1.974521656,77.74682548,1.889661654
67A_Disk_t0.5_Tot,15.12373378,200684.5363,2081.269959,154.4072061,751.4172278,985.7836842,1240.732184,12.57589924,1.577840404,20.80685084,345.3825851,1.366872903,3.686115308,2.556465466,552.9400957,21.9122279,0.661913353,0.710523319,34.65415254,1.642932761
67A_Disk_t1_Tot,13.79479084,211289.6269,4101.198729,244.5759249,721.7588195,1201.626755,1947.5736,17.7373948,2.887725273,43.51200791,572.5031417,2.360359446,19.86549693,3.816461887,622.4985873,37.26547937,1.991047166,0.371267038,46.00447298,0.88815605
67A_Disk_t2_Tot,13.28497863,187362.5545,4908.746232,31.97105753,680.9310212,1201.636056,2352.575865,22.27733607,1.219434533,55.98251171,640.2677958,2.56970675,5.732373829,3.208205956,542.610379,43.9334681,0.53212435,0.208609434,40.3953717,0.544550444
67A_Disk_t3_Tot,8.283394385,193712.8838,6030.295096,50.0636107,850.4540551,1219.88335,2864.597286,26.83732288,1.39523,74.12650075,758.1535111,3.416715321,8.54938553,4.323942199,580.3650262,54.11038265,1.756727899,0.124598003,37.30866061,0.460673608
