,Li,Na,Mg,Al,Si,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,Sr,Mo,Cd,Ba,Pb
BLANK,0.001,0.038,0.005,0.007,0.056,0.029,0.024,0,0,0,0.002,0,0,0.002,0.002,0,0,0,0.002,0
SH-60D_Disk_t0_Tot,0.006,361.572,0.017,0.055,0.426,3.391,0.045,0.001,0.001,0.001,0.01,0,0.001,0.001,0.118,0.001,0.007,0,0.02,0.001
SH-60D_Disk_t0.5_Tot,0.006,384.039,0.671,0.128,0.579,3.264,0.293,0.004,0,0.001,0.013,0,0.001,0.001,0.169,0.007,0.007,0,0.033,0.001
SH-60D_Disk_t1_Tot,0.005,375.231,1.32,0.073,0.583,3.078,0.553,0.007,0,0.001,0.016,0,0.002,0.001,0.117,0.013,0.007,0,0.059,0.001
SH-60D_Disk_t2_Tot,0.006,377.673,1.358,0.045,0.627,2.958,0.528,0.007,0,0.001,0.017,0,0.001,0,0.754,0.014,0.007,0,0.042,0.001
SH-60D_Disk_t3_Tot,0.006,370.164,1.526,0.048,0.626,2.978,0.536,0.007,0,0.001,0.016,0,0.001,0.003,0.072,0.013,0.007,0,0.044,0.001
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
SH-60D_Disk_t4_Tot,0.005,369.206,1.525,0.07,0.588,2.939,0.525,0.007,0.001,0.004,0.032,0,0.009,0.001,0.04,0.014,0.007,0,0.04,0.001
SH-60D_Disk_t7_Tot,0.005,374.587,1.761,0.036,0.636,2.934,0.621,0.008,0,0.002,0.013,0,0.002,0.001,0.024,0.016,0.007,0,0.061,0.001
SH-60D_Disk_t9_Tot,0.004,372.493,1.867,0.139,0.7,2.962,0.652,0.008,0,0.003,0.014,0,0.002,0.001,0.021,0.017,0.007,0,0.062,0.001
SH-60D_Disk_t15_Tot,0.005,375.944,2.109,0.262,0.87,2.945,0.717,0.01,0.002,0.011,0.121,0.001,0.036,0.002,0.03,0.019,0.007,0,0.072,0.001
SH-60D_Disk_t18_Tot,0.006,381.251,2.287,0.107,0.887,2.948,0.787,0.01,0.003,0.014,0.128,0.001,0.053,0.001,0.044,0.022,0.007,0,0.071,0.001
