,Li,Na,Mg,Al,Si,K,Ca,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Sr,Mo,Cd,Ba,Pb
C4-67B Disk t7,2.900,178815.416,2186.731,69.645,1325.793,711.358,866.206,10.777,0.918,14.665,55.930,0.386,1.909,0.772,91.303,0.081,29.943,1.132,0.083,14.260,2.164
C4-67B Disk t9,2.958,184632.973,2627.451,142.160,1491.116,739.558,991.227,13.175,7.464,17.131,112.226,0.570,5.776,1.029,90.345,0.142,33.453,1.416,0.075,15.799,2.302
C4-67B Disk t15,4.664,184617.231,3252.476,107.691,1278.104,766.870,1212.163,17.119,2.362,20.080,81.668,0.695,2.755,3.578,66.687,0.028,39.713,1.394,0.080,19.051,2.497
C4-67B Disk t18,3.047,185014.780,3375.854,166.723,1292.613,766.709,1302.222,22.583,0.940,19.862,97.014,0.838,3.028,1.142,66.550,0.068,41.661,1.723,0.097,18.266,2.542
C4-67B Disk t23,5.135,184476.461,3592.452,78.605,1532.597,797.208,1385.107,20.141,0.786,21.059,111.747,0.951,1.901,0.785,49.839,0.068,42.866,1.721,0.089,19.458,2.201
C4-67B Disk t42,2.551,186805.047,4270.420,137.336,1883.718,864.257,1598.357,19.891,1.470,23.493,93.815,1.492,2.140,1.113,49.373,0.172,51.071,2.103,0.145,24.141,2.450
,,,,,,,,,,,,,,,,,,,,,
Blank,0.167,63.008,5.132,4.685,182.752,34.257,22.914,0.357,0.185,0.076,2.156,0.023,0.280,0.233,0.772,0.005,0.109,0.135,0.014,0.552,0.459
SH64D Disk t0,4.881,189639.910,100.884,27.730,1741.725,1185726.194,112.164,1.748,1.167,1.785,20.408,1.450,2.793,2.194,64.372,0.046,7.100,312.721,0.292,57.199,2.356
SH64D Disk t0.5,2.016,172350.043,469.102,57.822,1430.870,724.433,217.233,4.599,0.773,1.077,28.174,0.122,1.461,0.499,92.222,0.027,4.274,1.442,0.063,13.324,2.044
SH64D Disk t1,2.975,166745.658,761.283,94.963,1551.432,597.814,296.520,8.964,16.692,4.337,131.792,0.433,20.195,1.049,79.364,0.027,6.219,1.055,0.078,20.096,2.186
SH64D Disk t2,2.129,164388.519,896.834,91.460,1388.289,563.443,367.885,5.361,6.584,1.302,73.327,0.188,3.860,1.066,66.536,0.013,6.488,1.031,0.061,9.417,2.257
SH64D Disk t3,3.480,176021.105,1094.055,188.190,1623.818,599.349,381.693,11.569,12.370,4.827,209.913,0.717,21.853,1.292,95.301,0.027,7.563,1.136,0.070,11.039,2.465
SH64D Disk t4,2.632,173186.704,1182.349,282.702,2496.300,589.624,398.747,7.403,9.485,1.273,131.480,0.267,6.002,1.170,112.484,0.041,7.938,1.251,0.094,13.405,2.377
SH64D Disk t7,2.320,174163.083,1445.340,197.701,1620.835,584.516,475.442,7.929,7.179,1.507,107.376,0.211,2.918,1.186,122.702,0.069,9.541,1.098,0.063,16.480,2.567
SH64D Disk t9,3.783,170726.470,1493.529,182.007,1836.339,611.986,501.640,8.308,6.807,1.123,150.650,0.218,2.920,1.046,87.130,0.041,9.628,1.181,0.104,12.891,2.785
SH64D Disk t15,2.325,173892.760,1722.590,322.543,2190.774,670.661,593.499,13.142,14.372,1.701,199.175,0.359,4.083,0.945,103.291,0.173,10.834,1.309,0.109,14.541,2.963
SH64D Disk t18,3.167,175720.257,1899.848,212.727,1989.282,654.362,631.027,10.008,7.779,1.488,174.588,0.236,3.612,54.827,114.693,0.136,11.762,1.362,0.092,15.705,2.914
SH64D Disk t23,2.311,175193.810,1972.794,319.457,2516.954,673.382,687.336,16.117,7.421,1.956,208.998,0.194,2.619,1.132,123.937,0.162,12.614,1.211,0.103,16.714,3.033
SH64D Disk t42,4.245,175694.545,2300.536,442.396,2622.928,692.702,801.889,21.013,7.126,2.338,217.790,0.184,2.337,1.135,152.730,0.162,14.665,1.368,0.124,38.427,3.275
,,,,,,,,,,,,,,,,,,,,,
Blank,0.372,56.083,3.792,4.801,179.960,35.226,13.787,0.267,0.192,0.064,2.302,0.023,0.264,0.162,0.710,0.000,0.081,0.156,0.015,0.472,0.493
C4-67D Disk t0,2.522,190314.596,30.276,25.422,1570.649,155019.748,76.940,1.676,0.860,1.053,17.753,17.517,1.739,1.625,42.816,0.015,1.785,41.093,0.072,40.761,2.014
